id,pnr_number,journey_id,train_id,coach_id,seat_number,passenger_name,passenger_age,passenger_gender,boarding_station,destination_station,journey_date,departure_time,arrival_time,fare,status,booked_at,confirmed_at,cancelled_at,blocked_at,block_expires_at,external_booking_reference,version
1,4059703691,1,470,5288,60,Chitrangada Ramachandran,10,FEMALE,Amritsar,Bhopal Junction,2025-12-28,23:40:00,18:25:00,1420.42151077704,CONFIRMED,2025-12-12T05:14:41.257Z,2025-12-12T05:15:41.257Z,,,,,0
2,4077069118,2,369,3880,92,Rohit Swamy,37,MALE,New Delhi,Vadodara,2026-01-28,04:00:00,08:55:00,1746.8043420922993,CONFIRMED,2026-01-26T22:11:32.780Z,2026-01-26T22:12:32.780Z,,,,,0
3,9347962145,3,305,3798,19,Anil Chawla,52,MALE,Jodhpur,New Delhi,2026-01-07,03:50:00,14:55:00,864.5815480683904,CONFIRMED,2025-12-19T15:45:07.971Z,2025-12-19T15:46:07.971Z,,,,,0
4,2142735006,3,305,3799,20,Aditi Randhawa,60,FEMALE,Jodhpur,New Delhi,2026-01-07,03:50:00,14:55:00,866.3214141306221,CONFIRMED,2025-12-19T15:45:17.971Z,2025-12-19T15:46:07.971Z,,,,,0
5,5535751655,3,305,3791,71,Jacqueline Mohammad,7,MALE,Jodhpur,New Delhi,2026-01-07,03:50:00,14:55:00,1716.2057110950116,CONFIRMED,2025-12-19T15:45:27.971Z,2025-12-19T15:46:07.971Z,,,,,0
6,4098333770,3,305,3797,71,Amit Joshi,44,OTHER,Jodhpur,New Delhi,2026-01-07,03:50:00,14:55:00,859.22193201774,CONFIRMED,2025-12-19T15:45:37.971Z,2025-12-19T15:46:07.971Z,,,,,0
7,3774842941,4,293,3062,52,Rohini Menon,42,FEMALE,Nagpur,New Delhi,2026-01-17,00:10:00,06:10:00,1300.9283307413614,CONFIRMED,2025-12-29T23:25:31.943Z,2025-12-29T23:26:31.943Z,,,,,0
8,6682664189,4,293,3057,52,Mohan Vaidyanathan,53,OTHER,Nagpur,New Delhi,2026-01-17,00:10:00,06:10:00,1913.2340144292828,CONFIRMED,2025-12-29T23:25:41.943Z,2025-12-29T23:26:31.943Z,,,,,0
9,6081506587,5,79,2725,16,Varun Mohan,65,OTHER,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,1177.794037159757,CONFIRMED,2025-12-30T18:37:03.315Z,2025-12-30T18:38:03.315Z,,,,,0
10,1733742875,5,79,2724,70,Manav Gaikwad,65,OTHER,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,1271.2701253717726,CONFIRMED,2025-12-30T18:37:13.315Z,2025-12-30T18:38:03.315Z,,,,,0
11,4858914126,5,79,2726,59,Aditya Sundaram,34,OTHER,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,1149.3082486216472,CONFIRMED,2025-12-30T18:37:23.315Z,2025-12-30T18:38:03.315Z,,,,,0
12,4078389361,5,79,2716,41,Bipasha Dhawan,49,MALE,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,3437.301527827066,CONFIRMED,2025-12-30T18:37:33.315Z,2025-12-30T18:38:03.315Z,,,,,0
13,8749949667,5,79,2720,73,Raj Parthasarathy,27,MALE,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,2100.30759994571,CONFIRMED,2025-12-30T18:37:43.315Z,2025-12-30T18:38:03.315Z,,,,,0
14,5508244733,5,79,2718,83,Lalit Tiwari,67,MALE,Indore,Ahmedabad,2026-01-12,03:00:00,22:25:00,1890.463260658933,CONFIRMED,2025-12-30T18:37:53.315Z,2025-12-30T18:38:03.315Z,,,,,0
15,1887109056,6,288,3769,33,Sunita Mazumdar,39,OTHER,Shri Mata Vaishno Devi,Jodhpur,2026-01-02,02:20:00,22:45:00,852.7395730221897,CONFIRMED,2025-12-27T02:35:42.030Z,2025-12-27T02:36:42.030Z,,,,,0
16,8994602345,6,288,3769,35,Mihir Pawar,18,OTHER,Shri Mata Vaishno Devi,Jodhpur,2026-01-02,02:20:00,22:45:00,863.5399155465866,CONFIRMED,2025-12-27T02:35:52.030Z,2025-12-27T02:36:42.030Z,,,,,0
17,9213256608,6,288,3768,48,Vimala Sawant,51,MALE,Shri Mata Vaishno Devi,Jodhpur,2026-01-02,02:20:00,22:45:00,920.6835594840954,CONFIRMED,2025-12-27T02:36:02.030Z,2025-12-27T02:36:42.030Z,,,,,0
